[29/Jan/2024:04:37:44 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/99/changes" [Client 152.58.16.153] [Length 29397] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/99/"
[29/Jan/2024:04:37:44 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/99/changes" [Client 152.58.30.182] [Length 32035] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/99/"
[29/Jan/2024:04:38:02 +0000] - - 499 - GET https jenkins.hanisntsolo.com "/" [Client 152.58.30.182] [Length 0] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "-"
[29/Jan/2024:04:38:11 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/" [Client 152.58.16.153] [Length 35699] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "-"
[29/Jan/2024:04:38:11 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/" [Client 152.58.16.153] [Length 35701] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "-"
[29/Jan/2024:04:38:18 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/i18n/resourceBundle?baseName=jenkins.dialogs&_=1706503094283" [Client 152.58.30.182] [Length 134] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
[29/Jan/2024:04:38:22 +0000] - 403 403 - POST https jenkins.hanisntsolo.com "/job/gg_authorization_server/build?delay=0sec" [Client 152.58.30.182] [Length 337] [Gzip 1.70] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
[29/Jan/2024:04:38:22 +0000] - 403 403 - POST https jenkins.hanisntsolo.com "/job/gg_usermanagement/build?delay=0sec" [Client 152.58.30.182] [Length 332] [Gzip 1.71] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
[29/Jan/2024:04:38:25 +0000] - 405 405 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/build?delay=0sec" [Client 152.58.30.182] [Length 31468] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
[29/Jan/2024:04:38:26 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/i18n/resourceBundle?baseName=jenkins.dialogs&_=1706503106101" [Client 152.58.30.182] [Length 134] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/build?delay=0sec"
